query,plan
Plan a 2-day trip from Hyderabad to Lucknow for 1 person(s) with a budget of ₹17223 starting 2025-08-21.,"Stay at HOTEL SHELTER. Day 1: Visit Phoenix Palassio, Bara Imambara. Day 2:"
Plan a 4-day trip from Ahmedabad to Kolkata for 3 person(s) with a budget of ₹30641 starting 2025-08-07.,"Stay at Banayan Appartment ,Russell Street. Day 1: Visit Dakshineswar Kali Temple, Belur Math. Day 2: Visit Victoria Memorial, Indian Museum. Day 3: Visit Howrah Bridge, Kalighat Kali Temple. Day 4: Visit Science City Kolkata, Marble Palace."
Plan a 5-day trip from Delhi to Hyderabad for 4 person(s) with a budget of ₹21735 starting 2025-08-10.,"Stay at Vivanta by Taj - Begumpet (A Taj Hotel). Day 1: Visit Birla Mandir, Inorbit Mall Cyberabad. Day 2: Visit Charminar, Qutb Shahi Tombs. Day 3: Visit Golconda Fort, Salar Jung Museum. Day 4: Visit Ramoji Film City, Chowmahalla Palace. Day 5: Visit Hussain Sagar Lake, Nehru Zoological Park."
Plan a 2-day trip from Delhi to Chennai for 2 person(s) with a budget of ₹17822 starting 2025-08-13.,Stay at Vivanta by Taj - Connemara (A Taj Hotel). Day 1: Visit Marina Beach. Day 2:
Plan a 5-day trip from Chennai to Jaipur for 2 person(s) with a budget of ₹43453 starting 2025-08-18.,"Stay at Vidhya Villa. Day 1: Visit Amber Fort, Albert Hall Museum. Day 2: Visit Jaigarh Fort, Hawa Mahal. Day 3: Visit City Palace. Day 4: Day 5:"
Plan a 4-day trip from Chennai to Hyderabad for 1 person(s) with a budget of ₹31085 starting 2025-08-10.,"Stay at Vivanta by Taj - Begumpet (A Taj Hotel). Day 1: Visit Birla Mandir, Inorbit Mall Cyberabad. Day 2: Visit Charminar, Qutb Shahi Tombs. Day 3: Visit Golconda Fort, Salar Jung Museum. Day 4: Visit Ramoji Film City, Chowmahalla Palace."
Plan a 2-day trip from Jaipur to Hyderabad for 4 person(s) with a budget of ₹12931 starting 2025-08-09.,"Stay at Vivanta by Taj - Begumpet (A Taj Hotel). Day 1: Visit Birla Mandir, Inorbit Mall Cyberabad. Day 2: Visit Charminar, Qutb Shahi Tombs."
Plan a 3-day trip from Chennai to Lucknow for 2 person(s) with a budget of ₹38970 starting 2025-08-15.,"Stay at EXCEL PARADISE INN. Day 1: Visit Phoenix Palassio, Bara Imambara. Day 2: Day 3:"
Plan a 2-day trip from Bengaluru to Delhi for 1 person(s) with a budget of ₹31718 starting 2025-08-24.,"Stay at HOTEL SIAM INTERNATIONAL. Day 1: Visit India Gate, Akshardham Temple. Day 2: Visit Sunder Nursery, Humayun's Tomb."
Plan a 5-day trip from Ahmedabad to Delhi for 2 person(s) with a budget of ₹13009 starting 2025-08-10.,"Stay at The Taj Mahal Hotel (A Taj Hotel). Day 1: Visit India Gate, Akshardham Temple. Day 2: Visit Sunder Nursery, Humayun's Tomb. Day 3: Visit Lotus Temple, Qutub Minar. Day 4: Visit Lodhi Garden, Red Fort. Day 5: Visit National Gallery of Modern Art, National Science Centre."
